"Source"	"Target"	"Weight"	"X18LESS"	"X19PLUS"	"Distance"
0	1	2299	401	1898	13.7109941009
0	2	11	0	11	10.0969643239
0	3	159	16	143	4.31530782325
0	4	6	0	6	9.8853339418
0	5	12	1	11	21.4072324909
0	6	2	0	2	28.4252474935
0	7	161	151	10	4.43787942021
0	8	1	0	1	35.7949725683
0	9	64	38	26	3.23291409118
0	10	10	1	9	7.16947841321
0	11	3	0	3	30.2867426481
0	12	2	1	1	22.8682433299
0	13	133	86	47	4.43382994139
0	14	7	2	5	8.07823605328
0	15	115	12	103	7.24957968511
0	16	46	1	45	4.26392419192
0	17	10	0	10	16.0231291121
0	18	122	3	119	5.01943798639
0	19	65	16	49	2.95021012179
0	20	4	0	4	19.5882178612
0	21	14	2	12	17.1333892831
0	22	2	0	2	21.8471070793
0	23	21	8	13	14.3482677784
0	24	25	0	25	12.6449022615
0	25	3	0	3	32.8687288532
0	26	4	1	3	22.5032422971
0	27	1	0	1	24.4265904538
0	28	43	5	38	11.1016501416
0	29	4	0	4	29.220165704
0	30	4	0	4	19.3040446062
0	31	4	0	4	18.0507573306
0	32	33	0	33	10.5589624651
0	33	15	0	15	10.0367744201
0	34	8	0	8	25.5872835672
0	35	20	7	13	13.4472158853
0	36	115	26	89	12.4232373673
0	37	1	0	1	19.7301181315
0	38	2	1	1	19.9008837685
0	39	57	21	36	9.1003936702
0	40	2	0	2	13.8806381766
0	41	11	8	3	13.2386575274
0	42	32	9	23	8.72349344752
0	43	1	0	1	53.9015334562
0	46	7	1	6	36.8079544396
0	48	1	0	1	42.1957250207
0	49	3	0	3	25.4427576213
0	50	12	1	11	31.2644415088
0	51	2	0	2	26.358232068
0	52	2	1	1	36.2074912631
0	53	5	0	5	43.3712285189
0	55	1	0	1	40.9294685373
0	58	0	0	0	43.0907384847
0	59	1	0	1	54.8824191461
0	60	5	0	5	35.2852127838
0	61	1	0	1	48.1372258359
0	62	1	0	1	54.7340418928
0	64	2	0	2	36.5341245186
0	65	9	1	8	44.5962688626
0	66	1	0	1	28.8479848343
0	68	3	0	3	34.9865533821
0	70	16	2	14	34.2719400413
0	71	6	1	5	36.0039692854
0	72	1	0	1	30.3635858576
0	73	137	6	131	28.7999930624
0	74	9	0	9	33.2620191498
0	75	15	0	15	29.2899936173
0	76	12	0	12	35.5824112729
0	78	8	1	7	34.4422584235
0	79	6	1	5	28.1542069743
0	81	10	0	10	31.1040448464
0	82	2	0	2	33.7444622294
0	83	4	0	4	30.9452780124
0	84	19	1	18	30.0377902286
0	85	3	0	3	38.0770998007
0	86	7	0	7	37.8159066473
0	87	15	0	15	31.7773864142
0	88	7	1	6	33.7282543927
0	89	7	0	7	27.5865454038
0	90	3	0	3	42.8060389336
0	92	8	1	7	32.6920383432
0	95	12	3	9	20.8288839333
0	96	5	0	5	46.2472079875
0	99	1	0	1	24.5954679578
0	100	3	1	2	14.3967530852
0	102	21	0	21	15.3952721959
0	103	29	0	29	25.8574387333
0	104	1	0	1	19.5606224837
0	106	3	0	3	23.5443275865
0	110	1	0	1	24.8222754533
0	112	19	0	19	22.7161008783
0	113	53	2	51	29.8816031776
0	118	2	0	2	40.5680100057
0	120	3	1	2	25.2474840845
0	122	1	0	1	38.6130650853
0	124	0	0	0	37.2592141697
0	129	3	1	2	20.9904815572
0	131	1	0	1	50.1363693794
0	134	3	0	3	30.7702601236
0	137	0	0	0	41.3085274454
0	140	1	0	1	29.9151384402
0	142	20	1	19	35.827015902
0	144	1	0	1	40.716993192
0	145	1	0	1	31.0726014557
0	147	1	1	0	52.9289830679
0	151	1	0	1	43.5857586507
0	155	1	0	1	51.0478284229
0	164	1	0	1	44.3836898626
0	166	1	0	1	59.6044938564
0	168	1	0	1	46.8113984968
0	183	2	0	2	82.1803953089
0	188	1	0	1	87.1265821738
0	190	1	0	1	77.8593442937
0	208	1	0	1	86.5751957109
0	213	1	0	1	90.99813896
0	214	1	0	1	80.4877913139
0	220	0	0	0	101.920194257
0	230	1	0	1	97.3951619331
0	242	1	0	1	118.727398478
0	244	1	0	1	120.377974416
0	245	5	2	3	30.248905363
0	251	2	1	1	43.0854598445
0	255	1	0	1	30.1145903958
0	257	4	1	3	23.4748605823
0	261	1	0	1	21.5251599383
0	266	2	0	2	57.6241538304
0	271	1	0	1	65.7282612755
0	273	1	0	1	52.4491448331
0	274	2	0	2	41.213765647
0	275	2	0	2	47.0846259542
0	277	20	2	18	46.3290159766
0	279	1	0	1	36.8269736894
0	281	1	0	1	43.6335120409
0	282	1	0	1	48.1694661738
0	285	1	0	1	58.4723070271
0	291	1	0	1	67.2178478323
0	293	1	0	1	61.6528092878
0	294	0	0	0	68.9700317579
0	297	1	0	1	71.433135317
0	303	24	2	22	16.8301474658
0	304	5	3	2	6.95819909202
0	305	5	0	5	29.4724270578
0	306	1	0	1	21.3474444793
0	307	9	1	8	19.463405469
0	309	11	1	10	12.3361622571
0	324	1	0	1	80.7052823689
0	329	1	0	1	65.4952148565
0	415	1	0	1	92.2992074191
0	433	1	0	1	140.287915271
0	464	2	0	2	60.0748978817
0	466	2	0	2	79.9100270506
0	469	1	0	1	68.3375213732
0	471	2	0	2	60.6180245478
0	475	2	1	1	67.6811457834
0	476	1	0	1	48.754742603
0	484	1	0	1	64.9601976059
0	492	1	0	1	81.8537965035
0	505	2	0	2	92.3640015207
0	573	0	0	0	82.2493548755
0	579	1	1	0	76.2723706137
1	0	1256	205	1051	13.7109941009
1	2	276	124	152	13.9206948186
1	3	332	3	329	17.9709411975
1	4	318	8	310	10.460607417
