id,municipality,population,latitude,longitude,area_m2,P18LESS,P19MORE
0,AARTSELAAR,14267,51.133233,4.381716,11038007.44,2936,11331
1,ANTWERPEN,472071,51.256454,4.376329,203836008.4,106898,365173
2,BOECHOUT,12335,51.166997,4.516046,20705762.17,3016,9319
3,BOOM,16434,51.09491,4.372092,7373225.92,3847,12587
4,BORSBEEK,10132,51.192807,4.486881,3930256.41,2057,8075
5,BRASSCHAAT,37190,51.310931,4.499741,38638820.82,7981,29209
6,BRECHT,27169,51.337281,4.627448,91306583.02,6584,20585
7,EDEGEM,21389,51.157582,4.432098,8683276.22,4436,16953
8,ESSEN,17416,51.450788,4.465132,47640661.31,4256,13160
9,HEMIKSEM,9862,51.14499,4.339351,5521671.19,2239,7623
10,HOVE,8326,51.148521,4.481519,5988835.49,1993,6333
11,KALMTHOUT,17578,51.400138,4.467834,59498750.61,4197,13381
12,KAPELLEN,26242,51.33522,4.442957,37214800.73,5814,20428
13,KONTICH,20290,51.125052,4.443882,23863854.91,4885,15405
14,LINT,8089,51.12905,4.497256,5589613.06,2065,6024
15,MORTSEL,24421,51.175938,4.460216,7775486.75,5377,19044
16,NIEL,9155,51.108629,4.334882,5309678.69,2144,7011
17,RANST,18061,51.194112,4.58991,43767947.62,4204,13857
18,RUMST,14693,51.095153,4.420288,20218717.28,3282,11411
19,SCHELLE,8034,51.123934,4.342135,7653645.49,1905,6129
20,SCHILDE,19516,51.257524,4.580801,36163312.82,4383,15133
21,SCHOTEN,33256,51.265583,4.507483,29601254.34,7477,25779
22,STABROEK,17737,51.329614,4.375958,21691341.97,3959,13778
23,WIJNEGEM,8886,51.230912,4.516127,7891460.25,1870,7016
24,WOMMELGEM,12187,51.208084,4.51818,12979851.5,2803,9384
25,WUUSTWEZEL,18837,51.39538,4.599679,89371579.1,4648,14189
26,ZANDHOVEN,12341,51.212643,4.678503,40137704.33,2733,9608
27,ZOERSEL,21003,51.258878,4.66913,38532001.83,4792,16211
28,ZWIJNDRECHT,18421,51.225909,4.322611,20158426.68,3785,14636
29,MALLE,14225,51.294577,4.712673,51884572.09,3448,10777
30,BERLAAR,10730,51.108521,4.655395,24524550.64,2273,8457
31,BONHEIDEN,14558,51.02212,4.569978,29123159.95,3198,11360
32,BORNEM,20347,51.096746,4.242113,46270562.67,4484,15863
33,DUFFEL,16235,51.097086,4.51342,22647080.5,3542,12693
34,HEIST-OP-DEN-BERG,39199,51.072957,4.735268,86659523.45,8054,31145
35,LIER,33492,51.119699,4.573136,49788544.84,7097,26395
36,MECHELEN,79503,51.029977,4.449491,65744254.07,18734,60769
37,NIJLEN,21210,51.152187,4.66283,39156754.82,4577,16633
38,PUTTE,15907,51.052062,4.635583,35189939.89,3242,12665
39,PUURS,16399,51.067188,4.304816,33366758.09,3678,12721
